Country,Country_label,INDUSTRY,STAGE,Sum_of_deals,Year
GPAI,GPAI countries,-- All industries --,VC,6125.53298,2012
GPAI,GPAI countries,-- All industries --,VC,8576.0387985,2013
GPAI,GPAI countries,-- All industries --,VC,21811.0426745,2014
GPAI,GPAI countries,-- All industries --,VC,29159.4266205,2015
GPAI,GPAI countries,-- All industries --,VC,24475.590315,2016
GPAI,GPAI countries,-- All industries --,VC,38667.209864,2017
GPAI,GPAI countries,-- All industries --,VC,57041.195314,2018
GPAI,GPAI countries,-- All industries --,VC,70283.4493365,2019
GPAI,GPAI countries,-- All industries --,VC,81468.332255,2020
GPAI,GPAI countries,-- All industries --,VC,188646.189453,2021
GPAI,GPAI countries,-- All industries --,VC,127965.3654745,2022
GPAI,GPAI countries,-- All industries --,VC,99082.233307,2023
GPAI,GPAI countries,-- All industries --,VC,127887.273016,2024
GPAI,GPAI countries,-- All industries --,VC,148097.386537,2025
OECD,OECD countries,-- All industries --,VC,5850.306633,2012
OECD,OECD countries,-- All industries --,VC,8388.9461425,2013
OECD,OECD countries,-- All industries --,VC,21533.020281,2014
OECD,OECD countries,-- All industries --,VC,28429.719797,2015
OECD,OECD countries,-- All industries --,VC,23881.3612875,2016
OECD,OECD countries,-- All industries --,VC,37797.4684965,2017
OECD,OECD countries,-- All industries --,VC,55059.632269,2018
OECD,OECD countries,-- All industries --,VC,67688.236557,2019
OECD,OECD countries,-- All industries --,VC,77789.9390895,2020
OECD,OECD countries,-- All industries --,VC,178914.6560105,2021
OECD,OECD countries,-- All industries --,VC,119830.3200065,2022
OECD,OECD countries,-- All industries --,VC,94279.3889675,2023
OECD,OECD countries,-- All industries --,VC,122050.18517,2024
OECD,OECD countries,-- All industries --,VC,145019.289092,2025
USA,United States,-- All industries --,VC,4872.944386,2012
USA,United States,-- All industries --,VC,7320.064116,2013
USA,United States,-- All industries --,VC,19395.021055,2014
USA,United States,-- All industries --,VC,24895.455316,2015
USA,United States,-- All industries --,VC,19395.153007,2016
USA,United States,-- All industries --,VC,29805.646224,2017
USA,United States,-- All industries --,VC,43427.619651,2018
USA,United States,-- All industries --,VC,50386.682043,2019
USA,United States,-- All industries --,VC,60096.163159,2020
USA,United States,-- All industries --,VC,129841.124489,2021
USA,United States,-- All industries --,VC,72860.893747,2022
USA,United States,-- All industries --,VC,68925.5411815,2023
USA,United States,-- All industries --,VC,94481.2852035,2024
USA,United States,-- All industries --,VC,114045.535314,2025
CHN,China (People's Republic of),-- All industries --,VC,206.97333,2012
CHN,China (People's Republic of),-- All industries --,VC,559.657997,2013
CHN,China (People's Republic of),-- All industries --,VC,3082.727831,2014
CHN,China (People's Republic of),-- All industries --,VC,10830.0486975,2015
CHN,China (People's Republic of),-- All industries --,VC,19226.8764525,2016
CHN,China (People's Republic of),-- All industries --,VC,33045.598617,2017
CHN,China (People's Republic of),-- All industries --,VC,37633.0970025,2018
CHN,China (People's Republic of),-- All industries --,VC,25511.42888,2019
CHN,China (People's Republic of),-- All industries --,VC,32336.741057,2020
CHN,China (People's Republic of),-- All industries --,VC,53068.391113,2021
CHN,China (People's Republic of),-- All industries --,VC,25005.861279,2022
CHN,China (People's Republic of),-- All industries --,VC,20654.538212,2023
CHN,China (People's Republic of),-- All industries --,VC,17278.9018065,2024
CHN,China (People's Republic of),-- All industries --,VC,9066.2139325,2025
EU27,EU27,-- All industries --,VC,228.155886,2012
EU27,EU27,-- All industries --,VC,388.902604,2013
EU27,EU27,-- All industries --,VC,889.664861,2014
EU27,EU27,-- All industries --,VC,1282.7426605,2015
EU27,EU27,-- All industries --,VC,1214.6018025,2016
EU27,EU27,-- All industries --,VC,1950.5246645,2017
EU27,EU27,-- All industries --,VC,3236.352907,2018
EU27,EU27,-- All industries --,VC,5264.302,2019
EU27,EU27,-- All industries --,VC,5964.2317015,2020
EU27,EU27,-- All industries --,VC,15709.5729645,2021
EU27,EU27,-- All industries --,VC,19320.9360985,2022
EU27,EU27,-- All industries --,VC,9858.954014,2023
EU27,EU27,-- All industries --,VC,11529.3651755,2024
EU27,EU27,-- All industries --,VC,10421.2811585,2025
GBR,United Kingdom,-- All industries --,VC,187.539865,2012
GBR,United Kingdom,-- All industries --,VC,202.6277195,2013
GBR,United Kingdom,-- All industries --,VC,295.466426,2014
GBR,United Kingdom,-- All industries --,VC,809.4509005,2015
GBR,United Kingdom,-- All industries --,VC,892.791598,2016
GBR,United Kingdom,-- All industries --,VC,2099.5337355,2017
GBR,United Kingdom,-- All industries --,VC,2361.9074935,2018
GBR,United Kingdom,-- All industries --,VC,3724.066133,2019
GBR,United Kingdom,-- All industries --,VC,3307.3421845,2020
GBR,United Kingdom,-- All industries --,VC,9105.9697775,2021
GBR,United Kingdom,-- All industries --,VC,8018.9253875,2022
GBR,United Kingdom,-- All industries --,VC,4008.4837935,2023
GBR,United Kingdom,-- All industries --,VC,5094.651554,2024
GBR,United Kingdom,-- All industries --,VC,11508.5158465,2025
DEU,Germany,-- All industries --,VC,24.58466,2012
DEU,Germany,-- All industries --,VC,127.745227,2013
DEU,Germany,-- All industries --,VC,180.201204,2014
DEU,Germany,-- All industries --,VC,541.2553305,2015
DEU,Germany,-- All industries --,VC,289.4350285,2016
DEU,Germany,-- All industries --,VC,591.5067425,2017
DEU,Germany,-- All industries --,VC,866.0070865,2018
DEU,Germany,-- All industries --,VC,1868.1494255,2019
DEU,Germany,-- All industries --,VC,1706.209919,2020
DEU,Germany,-- All industries --,VC,5606.3337025,2021
DEU,Germany,-- All industries --,VC,4484.735385,2022
DEU,Germany,-- All industries --,VC,3212.5466315,2023
DEU,Germany,-- All industries --,VC,3993.2523075,2024
DEU,Germany,-- All industries --,VC,2723.96868,2025
ISR,Israel,-- All industries --,VC,249.451485,2012
ISR,Israel,-- All industries --,VC,107.63,2013
ISR,Israel,-- All industries --,VC,328.7,2014
ISR,Israel,-- All industries --,VC,449.963775,2015
ISR,Israel,-- All industries --,VC,623.62,2016
ISR,Israel,-- All industries --,VC,1062.544101,2017
ISR,Israel,-- All industries --,VC,1276.528257,2018
ISR,Israel,-- All industries --,VC,1905.853814,2019
ISR,Israel,-- All industries --,VC,2528.870603,2020
ISR,Israel,-- All industries --,VC,5203.023867,2021
ISR,Israel,-- All industries --,VC,5226.569134,2022
ISR,Israel,-- All industries --,VC,1802.247265,2023
ISR,Israel,-- All industries --,VC,1873.006361,2024
ISR,Israel,-- All industries --,VC,2611.888053,2025
CAN,Canada,-- All industries --,VC,136.544316,2012
CAN,Canada,-- All industries --,VC,179.762608,2013
CAN,Canada,-- All industries --,VC,259.92679,2014
CAN,Canada,-- All industries --,VC,389.917798,2015
CAN,Canada,-- All industries --,VC,738.337715,2016
CAN,Canada,-- All industries --,VC,934.87452,2017
CAN,Canada,-- All industries --,VC,1426.7073285,2018
CAN,Canada,-- All industries --,VC,2039.2670070000001,2019
CAN,Canada,-- All industries --,VC,1757.829766,2020
CAN,Canada,-- All industries --,VC,5578.557149,2021
CAN,Canada,-- All industries --,VC,3749.209563,2022
CAN,Canada,-- All industries --,VC,2306.917874,2023
CAN,Canada,-- All industries --,VC,3312.268971,2024
CAN,Canada,-- All industries --,VC,2093.570287,2025
IND,India,-- All industries --,VC,166.898871,2012
IND,India,-- All industries --,VC,116.013629,2013
IND,India,-- All industries --,VC,124.8838635,2014
IND,India,-- All industries --,VC,595.4030315,2015
IND,India,-- All industries --,VC,394.3891385,2016
IND,India,-- All industries --,VC,497.274125,2017
IND,India,-- All industries --,VC,1178.785605,2018
IND,India,-- All industries --,VC,1460.558029,2019
IND,India,-- All industries --,VC,2076.583402,2020
IND,India,-- All industries --,VC,5520.6183185,2021
IND,India,-- All industries --,VC,5346.393648,2022
IND,India,-- All industries --,VC,2500.956962,2023
IND,India,-- All industries --,VC,2156.305218,2024
IND,India,-- All industries --,VC,1567.304203,2025
KOR,Korea,-- All industries --,VC,97.682777,2012
KOR,Korea,-- All industries --,VC,16.006547,2013
KOR,Korea,-- All industries --,VC,106.6965035,2014
KOR,Korea,-- All industries --,VC,111.587725,2015
KOR,Korea,-- All industries --,VC,174.618527,2016
KOR,Korea,-- All industries --,VC,712.76076,2017
KOR,Korea,-- All industries --,VC,1063.425962,2018
KOR,Korea,-- All industries --,VC,996.693752,2019
KOR,Korea,-- All industries --,VC,1170.151902,2020
KOR,Korea,-- All industries --,VC,4545.047176,2021
KOR,Korea,-- All industries --,VC,4113.8612395,2022
KOR,Korea,-- All industries --,VC,3884.265301,2023
KOR,Korea,-- All industries --,VC,2602.506993,2024
