"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","FREQUENCY","SCALE","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"IMF.RES:WEO(9.0.0)","USA.GGXWDG_NGDP.A","OBS_VALUE","United States","Gross debt, General government, Percent of GDP","Annual","Units","107.380","106.374","107.625","108.751","132.513","125.009","119.104","119.836","122.322","125.050"
"IMF.RES:WEO(9.0.0)","G110.GGXWDG_NGDP.A","OBS_VALUE","Advanced Economies","Gross debt, General government, Percent of GDP","Annual","Units","105.633","103.230","102.746","103.814","122.160","115.620","109.327","108.513","109.053","110.248"
"IMF.RES:WEO(9.0.0)","G001.NGDP_RPCHMK.A","OBS_VALUE","World","Gross domestic product (GDP), Constant prices, Percent","Annual","Units","2.614","3.358","3.198","2.620","-3.020","6.445","3.339","2.912","2.829","2.637"
"IMF.RES:WEO(9.0.0)","G001.NID_NGDP.A","OBS_VALUE","World","Gross capital formation, Percent of GDP","Annual","Units","25.442","25.937","26.449","26.435","26.306","27.104","27.415","26.483","26.059","25.628"
"IMF.RES:WEO(9.0.0)","GX123.GGXWDG_NGDP.A","OBS_VALUE","Other Advanced Economies (Advanced Economies excluding G7 and Euro Area countries)","Gross debt, General government, Percent of GDP","Annual","Units","41.792","41.311","41.015","42.934","49.720","49.333","48.138","49.613","50.080","50.684"
"IMF.RES:WEO(9.0.0)","GBR.NGDPDPC.A","OBS_VALUE","United Kingdom","Gross domestic product (GDP), Current prices, Per capita, US dollar","Annual","Units","41114.514","40617.562","43275.096","42712.614","40230.545","46908.348","46236.523","49382.815","52648.187","56660.868"
"IMF.RES:WEO(9.0.0)","USA.NID_NGDP.A","OBS_VALUE","United States","Gross capital formation, Percent of GDP","Annual","Units","20.888","21.156","21.569","21.670","21.438","21.407","22.027","21.570","21.533","21.415"
"IMF.RES:WEO(9.0.0)","G119.GGXWDG_NGDP.A","OBS_VALUE","G7","Gross debt, General government, Percent of GDP","Annual","Units","119.617","117.464","117.281","118.223","139.677","132.405","124.604","123.117","123.979","125.691"
"IMF.RES:WEO(9.0.0)","USA.NGDPDPC.A","OBS_VALUE","United States","Gross domestic product (GDP), Current prices, Per capita, US dollar","Annual","Units","58179.697","60292.978","63165.278","65561.320","64518.063","71365.337","77944.095","82523.258","86144.797","89598.860"
"IMF.RES:WEO(9.0.0)","GBR.NID_NGDP.A","OBS_VALUE","United Kingdom","Gross capital formation, Percent of GDP","Annual","Units","17.859","18.443","18.050","18.250","17.572","17.681","18.744","17.794","17.679","16.924"
