FREQ,FREQ_LABEL,REF_AREA,REF_AREA_LABEL,INDICATOR,INDICATOR_LABEL,UNIT_MEASURE,UNIT_MEASURE_LABEL,AGG_METHOD,AGG_METHOD_LABEL,DECIMALS,DECIMALS_LABEL,DATABASE_ID,DATABASE_ID_LABEL,UNIT_MULT,UNIT_MULT_LABEL,DATA_SOURCE,DATA_SOURCE_LABEL,OBS_STATUS,OBS_STATUS_LABEL,OBS_CONF,OBS_CONF_LABEL,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
A,Annual,AFE,Africa Eastern and Southern,WB_WDI_SL_GDP_PCAP_EM_KD,GDP per person employed (constant 2021 PPP $),PPP_K_2021_PS,"PPP dollars, 2021 constant prices per person",_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),0,Units,WB_WDI,World Development Indicators (WDI),A,Normal value,PU,Public,9115.978098711184,8662.722981223029,8349.21917203435,8231.037495541568,8344.072465340447,8584.8673104689,8716.977560817519,8650.071081674703,8645.8354210579,8677.76357627295,8741.858083802863,8828.842839808049,8850.685944693736,9090.038463631156,9389.228456479126,9765.265317529687,10171.935736963738,10376.947930117827,10244.594491817008,10615.642063279967,10686.125553906624,10651.971680405795,10762.176598941682,11016.92329346551,11087.059581736075,11122.585218421487,11208.5430735356,11221.42217901229,11212.684027074856,10883.498538344804,10999.537825194977,10957.7965039332,10796.134344512971,10876.19627470234
A,Annual,AFG,Afghanistan,WB_WDI_SL_GDP_PCAP_EM_KD,GDP per person employed (constant 2021 PPP $),PPP_K_2021_PS,"PPP dollars, 2021 constant prices per person",_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),0,Units,WB_WDI,World Development Indicators (WDI),A,Normal value,PU,Public,,,,,,,,,,7550.477389979983,6812.818939301081,8326.909625752882,8519.656111842838,8326.419748294024,8912.153507592282,8973.674192257824,9947.904361605277,10042.218321776796,11636.337095925008,12801.00223462154,12273.513455803792,13168.81282189177,13316.906760702695,13059.32958769744,12873.569724787803,12860.513368788992,12864.566703368757,13030.55254615845,13569.773141908208,13526.939637472797,10611.84029172005,10863.25178747782,10784.024926972304,
A,Annual,AFW,Africa Western and Central,WB_WDI_SL_GDP_PCAP_EM_KD,GDP per person employed (constant 2021 PPP $),PPP_K_2021_PS,"PPP dollars, 2021 constant prices per person",_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),0,Units,WB_WDI,World Development Indicators (WDI),A,Normal value,PU,Public,8200.821471033241,8145.268482983221,7820.509206590754,7593.607021564043,7536.319963716477,7667.011387183823,7787.229999180688,7848.673168763794,7769.17840812248,7837.974953349568,8015.707017563349,8515.367466360905,8733.065769893808,9166.770138050975,9451.87997288748,9687.654454742877,9939.975678454131,10302.3951309809,10643.105032463109,11100.916688424204,11351.32473341576,11665.721067522552,12031.665718265258,12436.49384676852,12531.853634050694,12244.000033535542,12286.28860511744,12343.603000065512,12448.038513140244,12134.082624343871,12223.494734339412,12203.664588557049,12103.80802389043,12251.114032960792
A,Annual,AGO,Angola,WB_WDI_SL_GDP_PCAP_EM_KD,GDP per person employed (constant 2021 PPP $),PPP_K_2021_PS,"PPP dollars, 2021 constant prices per person",_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),0,Units,WB_WDI,World Development Indicators (WDI),A,Normal value,PU,Public,20549.79142419793,18800.46642068145,13943.446847182518,13706.262274061854,15182.911860829056,16524.947178361235,17105.090583940113,17342.845029283417,17174.807211626707,17119.778288438858,17231.28087626534,18855.49662711652,18728.7965152455,19992.09233355769,22147.17342689547,23751.165486643706,26056.824882736106,27916.947654760283,27178.77172901832,27369.828809609484,27274.90433604273,28516.002250081663,28890.38364462952,29274.48577951789,28665.447607403075,27078.65805940132,26194.340777673824,25039.841772470874,24065.02086470871,22077.56086873348,20911.164995174528,20737.808122530456,20205.471805962166,20380.91733192778
A,Annual,ALB,Albania,WB_WDI_SL_GDP_PCAP_EM_KD,GDP per person employed (constant 2021 PPP $),PPP_K_2021_PS,"PPP dollars, 2021 constant prices per person",_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),0,Units,WB_WDI,World Development Indicators (WDI),A,Normal value,PU,Public,10334.032447537287,12207.615088358114,12715.136774668466,13175.28148311537,14100.72098866578,15219.790662036225,13760.437751538888,15678.64589901988,18042.36389906778,19108.834804601767,20901.083735930697,21624.55382368103,22770.49173931679,24049.92492063359,25501.95059113705,27314.36531403107,29683.04330326112,31196.970045355672,31080.74929411472,31852.96810737224,29637.415600676504,31238.10340774463,35412.07541465061,36365.758843709824,35343.33755787975,34704.06729843549,34541.172151604835,34504.63463545494,34335.96710176863,34842.72775098495,37450.57617479933,38075.358225234806,39923.67489648963,41781.654091037984
A,Annual,ARB,Arab World,WB_WDI_SL_GDP_PCAP_EM_KD,GDP per person employed (constant 2021 PPP $),PPP_K_2021_PS,"PPP dollars, 2021 constant prices per person",_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),0,Units,WB_WDI,World Development Indicators (WDI),A,Normal value,PU,Public,47308.371839890206,48740.36221149226,48873.03787423574,48378.50805269788,48751.28293904288,49242.09959682577,50220.10290267292,51577.2961548635,51187.89143744751,53306.106747292375,53382.3133321127,53127.98142226578,53016.66911808729,55120.21994467021,55928.83957045576,56638.2491740132,56749.112676502096,58047.19482104984,56703.375332097385,57619.68891032431,59395.19613885916,60664.85651988396,60231.47274529513,60427.64197908122,61386.79881269925,62053.835586276335,63228.02965989583,64347.79043370144,64526.02378989347,62896.85254519004,63741.05913612957,65115.46114290807,69140.22593839814,71780.43253493078
A,Annual,ARE,United Arab Emirates,WB_WDI_SL_GDP_PCAP_EM_KD,GDP per person employed (constant 2021 PPP $),PPP_K_2021_PS,"PPP dollars, 2021 constant prices per person",_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),0,Units,WB_WDI,World Development Indicators (WDI),A,Normal value,PU,Public,197276.3956713287,190877.89805213964,181247.92850410863,182163.41395724457,183043.13750615105,180031.48398642815,179141.3067386126,165396.4426035685,156853.77916009055,160502.87634427167,150722.16292029817,143386.29100500428,145511.0405108575,149058.938227242,146743.04508663452,148329.36277482504,135729.00959526876,125047.89522198748,112155.5442134191,111053.34744695056,113406.73909339642,110415.39722127588,110852.89600259844,109628.5470899142,110228.65634492604,109939.28082496648,107709.74060895728,106890.5997419324,106486.31957748976,104590.5519946902,108126.0543646329,109902.76492029113,108156.44626595556,107503.50050830834
A,Annual,ARG,Argentina,WB_WDI_SL_GDP_PCAP_EM_KD,GDP per person employed (constant 2021 PPP $),PPP_K_2021_PS,"PPP dollars, 2021 constant prices per person",_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),0,Units,WB_WDI,World Development Indicators (WDI),A,Normal value,PU,Public,46288.9540312011,48984.9189201794,53587.00140240608,56342.62984458911,58998.37418517231,59538.032220900845,60883.469614341695,60428.08711122465,58986.21993303744,58552.41594748954,57363.11630454184,53152.27561574376,53402.438476184245,55372.000649423455,58492.09488286611,61047.78366952402,65213.84514344535,67241.61053255186,62578.83188198106,67965.77831899129,70154.7796410961,68915.67728059378,70098.6605034767,68224.40539400862,69722.70532763549,68102.89073063259,69702.68518956956,66889.2867265136,64545.66909186653,63088.842258042285,62199.20993497176,62416.58159749194,59585.92582453945,59087.98977026826
A,Annual,ARM,Armenia,WB_WDI_SL_GDP_PCAP_EM_KD,GDP per person employed (constant 2021 PPP $),PPP_K_2021_PS,"PPP dollars, 2021 constant prices per person",_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),0,Units,WB_WDI,World Development Indicators (WDI),A,Normal value,PU,Public,11908.112787173,7099.568810398419,7072.090130979643,7854.167761181787,8604.55217177862,9467.067942651183,10043.440188982391,10620.84532719062,11112.369501173758,11330.749942212513,12259.840980692708,13790.45755734242,15686.642393391572,17303.502154022575,19660.21204891244,22180.79924919368,25126.79959569252,29090.778395738165,25419.958684763114,26142.388040399965,27288.77254666516,28845.964957383563,29504.902714031006,31026.63236845376,32449.130857247525,32408.914652665622,35095.13954563814,37635.9026327937,39420.39307115917,36899.58141891475,37305.94963485865,41420.38281341099,44812.663715315546,46539.467885290185
A,Annual,AUS,Australia,WB_WDI_SL_GDP_PCAP_EM_KD,GDP per person employed (constant 2021 PPP $),PPP_K_2021_PS,"PPP dollars, 2021 constant prices per person",_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),0,Units,WB_WDI,World Development Indicators (WDI),A,Normal value,PU,Public,79713.08625692512,80447.98405025956,83541.48987507711,84183.21182686594,84373.11524961557,86492.48265067667,89139.33036296332,91690.0563983838,94573.8589306223,95782.395928418,96478.75038367,98438.16464258304,99263.9460575286,101744.55390297576,101549.82824549024,101916.6882512258,102552.39927657456,103342.9112691416,104531.98386184212,104696.51203486526,105424.051447241,108213.89637018158,109995.5474996748,112058.74241570458,112330.1815311808,113420.62722109292,113385.24715523008,113636.79961030264,113575.6890770413,115044.55335107257,113949.87151418724,114051.35025951266,114652.22102820058,114266.93526742049
