"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"IMF.STA:LS(9.0.0)","HKG.U.PT.A","OBS_VALUE","Hong Kong Special Administrative Region, People's Republic of China","3.383333333333332","3.15","2.808333333333332","2.961333333333332","5.836499999999998","5.408333333333332","4.318","2.949","2.988",""
"IMF.STA:LS(9.0.0)","ALB.U.PT.A","OBS_VALUE","Albania","15.42275","13.62025","12.30425","11.46775","11.64125","11.477","10.787","10.66925","",""
"IMF.STA:LS(9.0.0)","SVN.U.PT.A","OBS_VALUE","Slovenia, Republic of","8.008333333333332","6.575000000000002","5.125","4.441666666666668","4.983333333333332","4.774999999999998","4.025","3.658333333333335","3.708333333333332",""
"IMF.STA:LS(9.0.0)","MKD.U.PT.A","OBS_VALUE","North Macedonia, Republic of","24.31325","22.8575","21.21125","17.4155","16.5745","15.80025","14.47675","13.11325","12.266",""
"IMF.STA:LS(9.0.0)","BHS.U.PT.A","OBS_VALUE","Bahamas, The","12.7","9.8","10","9.336","","","","8.645","",""
"IMF.STA:LS(9.0.0)","PAN.U.PT.A","OBS_VALUE","Panama","4.843","5.461","5.313","6.409","18.548","10.293","8.281","6.678","8.607",""
"IMF.STA:LS(9.0.0)","IND.U.PT.A","OBS_VALUE","India","","","7.6525","6.54075","7.90425","6.40275","4.85525","4.1735","4.1755",""
"IMF.STA:LS(9.0.0)","USA.U.PT.A","OBS_VALUE","United States","4.869166666666665","4.3575","3.895833333333335","3.668333333333332","8.093333333333335","5.353333333333332","3.641666666666668","3.625","4.033333333333332",""
"IMF.STA:LS(9.0.0)","PER.U.PT.A","OBS_VALUE","Peru","6.58375","6.669833333333335","6.455333333333332","6.40525","7.185333333333335","4.8555","4.295666666666665","4.898416666666668","5.202583333333332",""
"IMF.STA:LS(9.0.0)","JOR.U.PT.A","OBS_VALUE","Jordan","15.275","18.121","18.2645","16.8215","19.213","19.8465","18.20325","16.62475","",""
"IMF.STA:LS(9.0.0)","CIV.U.PT.A","OBS_VALUE","Côte d'Ivoire","1.896","3.273","","2.401","","","2.31","","",""
"IMF.STA:LS(9.0.0)","ECU.U.PT.A","OBS_VALUE","Ecuador","4.59725","3.83625","3.528","3.80925","6.116","4.505083333333332","3.71325","3.3165","3.36225",""
"IMF.STA:LS(9.0.0)","UGA.U.PT.A","OBS_VALUE","Uganda","","3.428","","2.563","","3.416","","","",""
